				manner2	manner2	manner2	manner2	manner2	manner2	manner2	manner1	manner1			manner1	place1	place2	place2		place1	place2	place2	place2	place2	place1	place2	place2	place2	place1	place2	place2	place2	phonation	phonation	phonation	phonation	phonation	phonation	height	height	backness	backness			
IPA	X-SAMPA	consonantal	syllabic	nasal	stop	fricative	approximant	trill	flap	affricate	continuant	sonorant	lateral	rhotic	liquid	labial	bilabial	labiodental	lingual	coronal	dental	alveolar	post-alveolar	retroflex	dorsal	palatal	velar	uvular	laryngeal	pharyngeal	epiglottal	glottal	egressive	voice	nasalization	aspiration	ejective	click	high	low	front	back	round	tense	long
ʙ	B\	+	-	-	-	-	-	+	-	-	+	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
c	c	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ç	C	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
c͡ç	c)C	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ɕ	s\	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
d	d	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ð	D	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
d̪͡ð	d_d)D	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
d͡ɮ	d)K\	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
d͡z	d)z	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
d͡ʑ	d)z\	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
d͡ʒ	d)Z	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɖ	d`	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɖ͡ʐ	d`)z`	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
f	f	+	-	-	-	+	-	-	-	-	+	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ɡ	g	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɡ͡b	g)b	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɡ͡ɣ	g)G	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɢ	G\	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
